ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label,detailed-label
1545466978.172801,CldTah4LiHwUhkZpsa,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,
1533081805.051888,C3kRVSl72yaodsLAa,192.168.100.113,45060,178.128.185.250,50,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,malicious,
1533114643.474237,Caxgwf4Mc7GMKzlrIg,192.168.100.113,123,31.31.74.35,123,udp,-,0.008242,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1545427165.455639,Cz9n7L1HuQjk9WssOl,192.168.1.195,123,147.231.100.5,123,udp,-,0.031967,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1533043399.473578,CvaIMq2wg9posTnjpc,192.168.100.113,123,80.79.25.111,123,udp,-,0.001998,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1538612963.665245,Crh6XO1xXUCvVAmBm,192.168.100.113,123,195.113.144.201,123,udp,-,-,-,-,S0,-,-,0,D,1,76,0,0,-,benign,-
1533109275.475612,CErcWj3PJOhras9Ab1,192.168.100.113,123,147.231.100.5,123,udp,-,0.001994,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1533084313.695211,CLxhTF3ew4Vb7A3aO2,192.168.100.113,36004,128.185.250.50,50,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,malicious,
1533074235.475252,CIHkcb1fSLbCtl1XB6,192.168.100.113,123,147.231.100.5,123,udp,-,0.001995,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1533088897.474837,CVdHAE4oMZObzCzlo8,192.168.100.113,123,147.231.100.5,123,udp,-,0.001736,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1545416676.767768,CzgOYF1YFWAJH8SRH2,192.168.1.195,52612,185.244.25.235,6667,tcp,irc,4.112165,75,243,S3,-,-,0,ShAdDaf,9,567,6,563,-,malicious,
1545466969.021521,CMdtO62zoolHTSkkBh,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,
1545466987.773085,C2k4Sb2VdTJq6DKKT1,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,
1545466975.312681,Crff0B12w34dctQsQg,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,
1545470380.458843,CoqRx52qG6316oFsf7,192.168.1.195,123,195.113.144.201,123,udp,-,-,-,-,S0,-,-,0,D,1,76,0,0,-,benign,-
1533106396.474397,CfE00215OfRDq6tBb3,192.168.100.113,123,147.251.48.140,123,udp,-,0.005243,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1538579926.656942,CA5tGi3ZjZXYVuwCAc,192.168.100.113,123,77.78.107.252,123,udp,-,-,-,-,S0,-,-,0,D,1,76,0,0,-,benign,-
1545466987.73408,Cykzdh15pyESXQxtd9,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,
1545425191.456934,C442XI3hz5c0zoX7d,192.168.1.195,123,147.231.100.5,123,udp,-,0.001495,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1545466969.053002,C8t8yA3fMW8Ilm21oe,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,
1538656707.666728,CSZNSa9r7w20keO68,192.168.100.113,123,89.221.212.46,123,udp,-,0.006740,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1533051514.496326,CTfxkJ2yTKWg1Q3hK9,192.168.100.113,34364,128.185.250.50,50,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,malicious,
1533127918.97506,CJLrfQ1mdfLoaf2eRf,192.168.100.113,47364,178.128.185.250,50,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,malicious,
1545466965.682429,CFRYoSAicfjsbMJDc,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,
1545464379.541556,CSKPyW2TKiUdivNvIg,192.168.1.195,123,77.78.107.252,123,udp,-,-,-,-,S0,-,-,0,D,1,76,0,0,-,benign,-
1538602411.678964,CTzKl120F6Imtu7vwf,192.168.100.113,42914,192.168.100.1,53,udp,dns,5.005163,78,0,S0,-,-,0,D,2,134,0,0,-,benign,-
1533069589.477953,CyQAAA1OZjd2GucDlb,192.168.100.113,123,147.231.100.5,123,udp,-,0.001744,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1533087200.474717,CjAxvf1b2ETdcKPjd8,192.168.100.113,123,147.231.100.5,123,udp,-,0.001743,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1545479389.363146,CL6Ots18zrmHF7v4Lb,192.168.1.195,55888,185.244.25.235,6667,tcp,-,3.138964,0,0,S0,-,-,0,S,3,180,0,0,-,malicious,
1545466973.036226,CBM6oh4DLvfn7rkb4e,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,
1533058070.473795,C6Q41foW8kaZJha0j,192.168.100.113,123,147.231.100.5,123,udp,-,0.001979,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1545466961.967305,CbDwjM1Ule0Op6CAwh,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,
1545435343.454676,CiL6xz256oBWDfAST6,192.168.1.195,123,147.231.100.5,123,udp,-,0.035481,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1538573583.676014,CFfyfm9BhO2vj0Qgg,192.168.100.113,43322,192.168.100.1,53,udp,dns,0.000500,45,45,SF,-,-,0,Dd,1,73,1,73,-,benign,-
1545466964.566309,CoHgtq3AWTghlONOWd,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,
1533096694.474892,CyBJgnz3OPQCVLtn1,192.168.100.113,123,147.231.100.5,123,udp,-,0.001993,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1538573115.666262,CHIfjoAWhXef7QYY1,192.168.100.113,54624,192.168.100.1,53,udp,dns,5.005151,78,0,S0,-,-,0,D,2,134,0,0,-,benign,-
1545439676.457724,CmgeVP3iNAMsNTZ4B5,192.168.1.195,123,147.231.100.5,123,udp,-,0.001745,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1533124781.277725,Ce4gMn24kO7BHMMfU2,192.168.100.113,47208,178.128.185.250,50,tcp,-,3.136481,0,0,S0,-,-,0,S,3,180,0,0,-,malicious,
1533087004.474841,CrP1sd4w4xiNrceNJc,192.168.100.113,123,147.231.100.5,123,udp,-,0.001494,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1545463979.531421,CUZbP74JSNvsdblNf6,192.168.1.195,123,195.113.144.201,123,udp,-,-,-,-,S0,-,-,0,D,1,76,0,0,-,benign,-
1545432848.457353,CD2lXhoPkbpVvHYZ8,192.168.1.195,123,147.231.100.5,123,udp,-,0.001747,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1533079555.471571,CIkkyYAGandpPCWg,192.168.100.113,123,147.231.100.5,123,udp,-,0.001747,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1545411039.701718,ChSOtB3ZhHs7dFpIge,192.168.1.195,50920,185.244.25.235,6667,tcp,irc,1.016671,60,124,RSTR,-,-,0,ShAdfDr,5,328,4,328,-,malicious,
1533063151.617062,CyXXYa2ST2345YVi05,192.168.100.113,44128,178.128.185.250,50,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,malicious,
1545407071.456946,C8vCfE4qPWYHhgvMp6,192.168.1.195,123,147.231.100.5,123,udp,-,-,-,-,S0,-,-,0,D,1,76,0,0,-,benign,-
1538600822.660275,CEvULR3xS00BiSQJLh,192.168.100.113,123,147.251.48.140,123,udp,-,-,-,-,S0,-,-,0,D,1,76,0,0,-,benign,-
1533111907.454396,CbEgCL18IBqmQ2wmVd,192.168.100.113,46564,178.128.185.250,50,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,malicious,
1545452514.459176,CRj6LF48bsihj8Uxc2,192.168.1.195,123,147.231.100.5,123,udp,-,-,-,-,S0,-,-,0,D,1,76,0,0,-,benign,-
1533079518.331503,Ccsn33RjutVcwgl1e,192.168.100.113,35764,128.185.250.50,50,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,malicious,
1545411043.58126,C1HrOb3gEhOYfqHxR5,192.168.1.195,56431,192.168.1.1,53,udp,dns,5.005399,78,0,S0,-,-,0,D,2,134,0,0,-,benign,-
1545466969.306357,CG4oyh1stPBaDqbI4d,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,
